MemberType,Name,DataType
procedure,AddTo(const ViewWrapper : IOccWrapper; const ITransformation : IPCB3D_Transformation; const Name : WideString),
procedure,AddToAssembly(const ViewWrapper : IOccWrapper; const AssemblyIndex : Integer; const ITransformation : IPCB3D_Transformation; const Name : WideString),
procedure,AddToAssembly2(const ViewWrapper : IOccWrapper; const AssemblyIndex : Integer; const ITransformation : IPCB3D_Transformation; const Name : WideString; const Color : Cardinal),
property,CheckSum,Cardinal
property,DataSize,Int64
property,Embed,Boolean
procedure,ExportToStep(const FileName : WideString),
property,FileName,TPCBString
function,ForceCheck_IsStale,Boolean
function,GetDataHash(const AHashType : WideString),WideString
procedure,GetState(out RotX : Double; out RotY : Double; out RotZ : Double; out Dz : Integer),
property,Id,TPCBString
function,IsEmpty,Boolean
function,IsStale,Boolean
property,ItemGUID,TPCBString
property,ItemRevisionGUID,TPCBString
function,I_ObjectAddress,Pointer
function,I_Replicate,IPCB_Model
function,I_ReplicateToGeneric,IPCB_Model
property,ModelSource,TModelSource
property,ModelType,T3DModelType
property,Name,TPCBString
property,Origin,TCoordPoint
property,Rotation,TAngle
procedure,SetState(RotX : Double; RotY : Double; RotZ : Double; Dz : Integer),
property,VaultGUID,TPCBString
